name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Manchester,2022-07-06T00:00:00,14.9,14.9,11.2,78.24,0,0,,0,0,12.6,11.7,289,1027.9,96.3,10,0,,0,10,Overcast,cloudy,"EGNM,EGCC,EGGP"
Manchester,2022-07-06T01:00:00,14.1,14.1,12.1,87.76,0,0,,0,0,9.4,3.6,248.8,1027.8,99.4,5.7,0,,0,10,Overcast,cloudy,"EGNM,EGCC,EGGP"
Manchester,2022-07-06T02:00:00,14.2,14.2,13.1,93.09,0,0,,0,0,11.2,5.7,280,1027,100,1.9,0,,0,10,Overcast,cloudy,"EGCC,EGGP"
Manchester,2022-07-06T03:00:00,14.1,14.1,13.9,98.43,0,0,,0,0,14.4,12.8,262,1026.9,99.4,6.6,0,,0,10,Overcast,cloudy,"EGNM,EGCC,EGGP"
Manchester,2022-07-06T04:00:00,14.5,14.5,13.4,93.11,0,0,,0,0,17.6,7.9,249.8,1027,100,21.4,0,,0,10,Overcast,cloudy,
Manchester,2022-07-06T05:00:00,14.7,14.7,13.5,92.52,0.1,0,rain,0,0,23,10.1,263.8,1027,100,19.9,0,,0,10,Overcast,cloudy,
Manchester,2022-07-06T06:00:00,14.8,14.8,13.4,91.33,0,0,,0,0,24.5,10.8,270.9,1026,98.4,19.9,4,0,0,10,Overcast,cloudy,
Manchester,2022-07-06T07:00:00,14.9,14.9,13.3,90.15,0,0,,0,0,24.5,10.8,264.3,1027,98.7,20.9,15,0.1,0,10,Overcast,cloudy,
Manchester,2022-07-06T08:00:00,15.4,15.4,12.9,85.05,0,0,,0,0,30.6,13.3,269.6,1027,96.4,24.1,38,0.1,0,10,Overcast,cloudy,
Manchester,2022-07-06T09:00:00,15.8,15.8,12.3,79.7,0,0,,0,0,35.3,15.5,281,1027,99.9,24.1,50,0.2,1,10,Overcast,cloudy,
Manchester,2022-07-06T10:00:00,16,16,13,82.38,0,0,rain,0,0,41,16.6,291.7,1027,99.3,24.1,155,0.6,2,10,Overcast,cloudy,
Manchester,2022-07-06T11:00:00,16.6,16.6,12.9,78.77,0,0,rain,0,0,38.2,16.6,287.5,1027,100,24.1,189,0.7,2,10,Overcast,cloudy,
Manchester,2022-07-06T12:00:00,17.2,17.2,13,76.33,0,0,,0,0,40.3,16.9,274.8,1026,88.4,24.1,289,1,3,10,Partially cloudy,partly-cloudy-day,
Manchester,2022-07-06T13:00:00,17.1,17.1,13,76.81,0,0,,0,0,44.3,17.6,280,1026,98.8,24.1,365,1.3,4,10,Overcast,cloudy,
Manchester,2022-07-06T14:00:00,18.1,18.1,12.8,71.18,0,0,,0,0,49.3,21.6,287.2,1026,99.9,24.1,327,1.2,3,10,Overcast,cloudy,
