name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Hanoi,2022-07-08T00:00:00,26,26,25,94.23,0,0,,0,0,13,11.2,85,1004,89,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
Hanoi,2022-07-08T01:00:00,26.2,26.2,24.8,92.11,0.6,100,rain,0,0,12.2,9.3,137,1003.8,89.7,7.9,0,,0,10,"Rain, Partially cloudy",rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2022-07-08T02:00:00,25.5,25.5,25,97.06,0,0,rain,0,0,13.3,11.2,125,1003,89,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
Hanoi,2022-07-08T03:00:00,26,26,25,94.23,0,0,rain,0,0,13.3,6.5,95,1003,94,8.5,0,,0,10,Overcast,cloudy,"48820099999,VVNB"
Hanoi,2022-07-08T04:00:00,26.4,26.4,25.3,93.4,0,0,rain,0,0,11.5,6.9,133,1003.1,96,8.6,0,,0,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
Hanoi,2022-07-08T05:00:00,26,26,26,100,0,0,rain,0,0,9.4,8.5,160,1003,89,8,0,,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
Hanoi,2022-07-08T06:00:00,27,31.2,26,94.27,0,0,rain,0,0,8.3,5.4,190,1004,89,9,1,0,0,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
Hanoi,2022-07-08T07:00:00,26.8,30.4,25.6,93.28,0,0,,0,0,3.2,3.6,281,1004.7,96.1,10.1,6,0,0,10,Overcast,cloudy,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2022-07-08T08:00:00,27,30.6,25,88.84,0,0,,0,0,1.8,3.6,330,1005,70,10,35,0.1,0,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
Hanoi,2022-07-08T09:00:00,27,30.6,25,88.84,0,0,,0,0,1.8,1.8,331.6,1006,30,10,64,0.2,1,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
Hanoi,2022-07-08T10:00:00,27.8,32.2,24.9,84.65,0,0,,0,0,3.6,6.8,327,1005.9,96.2,10,107,0.4,1,10,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
Hanoi,2022-07-08T11:00:00,28,32.7,25,83.8,0,0,,0,0,4.3,7.4,55,1006,27.5,10,721,2.6,7,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
Hanoi,2022-07-08T12:00:00,28,33.1,25.5,86.31,0,0,,0,0,4.3,9.4,60,1005,37.5,10,862,3.1,9,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
Hanoi,2022-07-08T13:00:00,29,33.8,24.2,75.01,0,0,,0,0,3.6,7.1,324,1004.2,89.4,10.2,752,2.7,8,30,Partially cloudy,partly-cloudy-day,"48823099999,48825099999,48831099999,VVNB"
Hanoi,2022-07-08T14:00:00,28.5,33.6,25,81.38,0,0,rain,0,0,2.5,8.5,55,1004,27.5,10,660,2.4,7,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
Hanoi,2022-07-08T15:00:00,29,35.6,26,83.9,0,0,rain,0,0,5,10.3,55,1003,40,10,452,1.6,5,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
Hanoi,2022-07-08T16:00:00,29.7,35.3,24.6,74.18,0,0,,0,0,9.7,8.3,341,1002.7,85.1,10,299,1.1,3,30,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,VVNB"
Hanoi,2022-07-08T17:00:00,29,34.5,25,79.06,0,0,rain,0,0,11.5,12.1,55,1003,27.5,10,231,0.8,2,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
Hanoi,2022-07-08T18:00:00,29,34.5,25,79.06,0,0,,0,0,11.5,10.3,70,1003,27.5,10,96,0.3,1,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
Hanoi,2022-07-08T19:00:00,28.6,33.7,24.9,80.81,0,0,rain,0,0,11.9,7.1,16,1003.9,47.8,10.2,8,0,0,30,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2022-07-08T20:00:00,28,33.6,26,88.92,0,0,rain,0,0,14.4,7.6,60,1004,0,10,0,,0,30,Clear,clear-night,"48820099999,VVNB"
Hanoi,2022-07-08T21:00:00,27,31.2,26,94.27,0,0,,0,0,8.6,4.5,40,1005,30,10,0,,0,30,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
Hanoi,2022-07-08T22:00:00,27.3,31.7,25.7,91.15,0,0,,0,0,5.8,1.6,46,1005.3,62,10,0,,0,30,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,VVNB"
Hanoi,2022-07-08T23:00:00,27.5,32.4,26,91.56,0,0,,0,0,4.3,5.6,50,1005,69,10,0,,0,30,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
Hanoi,2022-07-09T00:00:00,27,30.9,25.5,91.51,0,0,rain,0,0,4,8.5,40,1005,27.5,10,0,,0,30,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
Hanoi,2022-07-09T01:00:00,27.4,32,25.9,91.92,0,0,rain,0,0,6.1,7,341,1004.1,48,10.2,0,,0,30,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2022-07-09T02:00:00,27,31.2,26,94.27,0,0,,0,0,7.9,7.6,45,1004,69,10,0,,0,30,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
Hanoi,2022-07-09T03:00:00,27,30.9,25.5,91.53,0,0,,0,0,8.6,9.4,110,1004,57.6,8,0,,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
Hanoi,2022-07-09T04:00:00,26,26,25.1,94.39,0,0,rain,0,0,11.2,7.9,327,1003.6,76.2,9.5,0,,0,10,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,VVNB"
Hanoi,2022-07-09T05:00:00,25,25,24.5,97.05,0,0,,0,0,12.2,4.5,40,1004,37.5,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
Hanoi,2022-07-09T06:00:00,26,26,25,94.23,0,0,rain,0,0,12.2,4.5,60,1004,50,9,14,0.1,0,10,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
Hanoi,2022-07-09T07:00:00,27.6,32.2,25.6,89.11,0.7,100,rain,0,0,7.6,1.3,81,1004.4,37.7,9.7,122,0.4,1,10,"Rain, Partially cloudy",rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2022-07-09T08:00:00,28.5,34.1,25.5,83.84,0,0,,0,0,6.8,12.1,55,1005,27.5,10,360,1.3,4,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
Hanoi,2022-07-09T09:00:00,29,35.6,26,83.9,0,0,,0,0,6.1,12.1,75,1005,70,10,554,2,6,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
Hanoi,2022-07-09T10:00:00,28,33.4,25.8,87.59,0,0,,0,0,5.8,11.5,76,1005.9,97.9,8.5,742,2.7,7,30,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
Hanoi,2022-07-09T11:00:00,27,31.2,26,94.27,0,0,rain,0,0,6.8,13.9,90,1005,95,4,820,3,8,30,Overcast,cloudy,"48820099999,VVNB"
Hanoi,2022-07-09T12:00:00,27,30.9,25.5,91.51,0,0,rain,0,0,7.9,13.9,85,1005,69,9.5,689,2.5,7,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
Hanoi,2022-07-09T13:00:00,27.8,32.8,25.6,87.76,0.92,100,rain,0,0,9.7,17.6,99,1004.5,95.9,9.5,568,2,6,30,"Rain, Overcast",rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2022-07-09T14:00:00,28,32.7,25,83.79,0,0,,0,0,11.5,14.8,100,1004,89,10,544,2,5,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
Hanoi,2022-07-09T15:00:00,28,32.7,25,83.79,0,0,rain,0,0,14,10.3,75,1003,24.9,10,678,2.4,7,30,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
